german,frequency,pattern,example_sentence,translation,sources
zu,219,sich_verb,sich beschäftigen ..... + Dat. Ich beschäftige mich schon seit Jahren .....diesem Thema.  Die Eltern arbeiten viel und beschäftigen sich zu wenig .... ihren Kindern.,sich beschäftigen mit + Dat. Ich beschäftige mich schon seit Jahren mit diesem Thema.  Die Eltern arbeiten viel und beschäftigen sich zu wenig mit ihren Kindern.,"['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
die,217,sich_verb,"liegen an....  + Dat. Wo.... liegt das? Wo... liegt es, dass wir nicht gewinnen? Es stellt sich die Frage, wo.. das liegt. Es liegt nur ... dir. Es liegt da...., dass er mir nie zuhört.","liegen an + Dat. Woran liegt das? Woran liegt es, dass wir nicht gewinnen? Es stellt sich die Frage, woran das liegt. Es liegt nur an dir. Es liegt daran, dass er mir nie zuhört.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
ist sehr,216,sein_adj,"Das ist sehr nett von Ihnen, antwortete Willie.","That's very nice of you, Willie answered.",['100k_German_sentences_with_aud']
mit,213,sich_verb,"jn. überreden .... + Dat. Wir haben sie da... überredet, sich mit uns zu treffen.","jn. überreden zu + Dat. Wir haben sie dazu überredet, sich mit uns zu treffen.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
bin mir,206,sein_adj,"Ich bin mir sicher, dass er falsch liegt.",I am positive that he is wrong.,['100k_German_sentences_with_aud']
hätte ich,203,haben_noun,"Wenn ich keine Antwort gegeben hätte, hätte ich nicht gesprochen.","If I gave no answer, I would not have spoken.",['100k_German_sentences_with_aud']
habe mich,198,haben_noun,"sich gewöhnen .... + Akk. Wir müssen uns ... den neuen Lehrer gewöhnen. Ich habe mich so ... euch gewöhnt, dass ich euch jetzt, wo ihr nicht mehr hier seid, sehr vermisse. Ich habe mich da.... gewöhnt","sich gewöhnen an + Akk. Wir müssen uns an den neuen Lehrer gewöhnen. Ich habe mich so an euch gewöhnt, dass ich euch jetzt, wo ihr nicht mehr hier seid, sehr vermisse. Ich habe mich daran gewöhnt, jed",['Verben_mit_Prpositionen_und_Be']
habe tom,198,haben_noun,Ich habe Tom auf dem Weg zur Schule getroffen.,I met Tom on my way to school.,['100k_German_sentences_with_aud']
war nicht,197,sein_adj,sich/jn. vorbereiten ..... + Akk. Die Lehrerin bereitet ihre Schüler gut .... die Prüfung vor. Ich wurde von der Situation völlig überrascht. Ich war nicht da.... vorbereitet.,sich/jn. vorbereiten auf + Akk. Die Lehrerin bereitet ihre Schüler gut auf die Prüfung vor. Ich wurde von der Situation völlig überrascht. Ich war nicht darauf vorbereitet.,"['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
ist zu,186,sein_adj,Deine Erklärungen reimen sich nicht; es ist zu unwahrscheinlich um wahr zu sein.,Your explanation won't wash; it's too improbable to be true.,['100k_German_sentences_with_aud']
haben johannes,185,haben_noun,Tom und Maria haben Johannes’ Party ruiniert.,Tom and Mary crashed John's party.,['100k_German_sentences_with_aud']
habe nicht,182,haben_noun,"Es gibt immer Dinge, die ich nie lernen werde, ich habe nicht ewig Zeit.","There will always be things I will never learn, I don't have eternity before me!",['100k_German_sentences_with_aud']
war so,177,sein_adj,"Sven war so wortreich, dass seine Freunde sich darauf verlegten, ihn ein Plappermaul zu nennen.",Sven was so verbose that his friends resorted to calling him a chatterbox.,['100k_German_sentences_with_aud']
auf,176,sich_verb,Sie sollten sich auf diese Stelle bewerben.,You should apply for that post.,['100k_German_sentences_with_aud']
um,173,sich_verb,"Sie wusste, wie es für eine verheiratete Frau war, sich um Haus, Ehemann und Kinder zu kümmern.","She knew what it was like for married women to look after houses, husbands and children.",['100k_German_sentences_with_aud']
war ein,173,sein_adj,sich erholen .... + Dat. Der Patient muss sich jetzt ..... der Operation erholen.  Das war ein großer Schreck und ich habe mich immer noch nicht da....  erholt.,sich erholen von + Dat. Der Patient muss sich jetzt von der Operation erholen.  Das war ein großer Schreck und ich habe mich immer noch nicht davon erholt.,"['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
warum tom,168,sein_adj,"Niemanden interessiert es, warum Tom Vegetarier ist.",Nobody cares why Tom is a vegetarian.,['100k_German_sentences_with_aud']
ist so,168,sein_adj,"Das ist so, weil du nicht allein sein willst.",It's because you don't want to be alone.,['100k_German_sentences_with_aud']
das,156,sich_verb,"sich eignen ....+ Akk. Es tut mir leid, aber ich eigne mich einfach nicht .... diese Arbeit. Wir sollten versuchen, jemanden zu finden, der ..... diese Aufgabe geeignet ist. Ich habe keine Ahnung, wo.","sich eignen für + Akk. Es tut mir leid, aber ich eigne mich einfach nicht für diese Arbeit. Wir sollten versuchen, jemanden zu finden, der für diese Aufgabe geeignet ist. Ich habe keine Ahnung, wofür ","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
war der,156,sein_adj,"absehen .... + Dat. Wir hatten Glück, denn die Polizisten haben ..... einer Strafe abgesehen.  Mal abgesehen da.... , dass es die meiste Zeit geregnet hat, war der Urlaub sehr schön.","absehen von + Dat. Wir hatten Glück, denn die Polizisten haben von einer Strafe abgesehen.  Mal abgesehen davon, dass es die meiste Zeit geregnet hat, war der Urlaub sehr schön.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
bin nicht,154,sein_adj,"kommen .... + Akk. Wie bist du bloß .....  diese Idee gekommen? Wie kommst du da.....? Ich dachte, der Name würde mir wieder einfallen, aber ich bin nicht mehr da... gekommen, wie er heißt.","kommen auf + Akk. Wie bist du bloß auf diese Idee gekommen? Wie kommst du darauf? Ich dachte, der Name würde mir wieder einfallen, aber ich bin nicht mehr darauf gekommen, wie er heißt.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
habe keine,152,haben_noun,"sich eignen ....+ Akk. Es tut mir leid, aber ich eigne mich einfach nicht .... diese Arbeit. Wir sollten versuchen, jemanden zu finden, der ..... diese Aufgabe geeignet ist. Ich habe keine Ahnung, wo.","sich eignen für + Akk. Es tut mir leid, aber ich eigne mich einfach nicht für diese Arbeit. Wir sollten versuchen, jemanden zu finden, der für diese Aufgabe geeignet ist. Ich habe keine Ahnung, wofür ",['Verben_mit_Prpositionen_und_Be']
habe das,151,haben_noun,Ich habe das Layout meiner Website geändert.,I've changed my website's layout.,['100k_German_sentences_with_aud']
ein,150,sich_verb,In der Nähe befindet sich ein Krankenhaus.,There is a hospital nearby.,['100k_German_sentences_with_aud']
ist noch,146,sein_adj,Auf Nummer Sicher ist noch nie Großes zuwege gebracht worden.,Nothing great has been achieved by playing it safe.,['100k_German_sentences_with_aud']
ist für,145,sein_adj,"Luft ist für den Menschen, was Wasser für den Fisch ist.",Air is to man what water is to fish.,['100k_German_sentences_with_aud']
sind sie,143,sein_adj,"sein ... + Akk. Ich bin .... eine schnelle Entscheidung. Da es regnet, bin ich da..., die Veranstaltung abzusagen. Wo... sind Sie?  Ich bin da.... Und Sie, sind Sie dafür oder dagegen?","sein für + Akk. Ich bin für eine schnelle Entscheidung. Da es regnet, bin ich dafür, die Veranstaltung abzusagen. Wofür sind Sie?  Ich bin dafür. Und Sie, sind Sie dafür oder dagegen?","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
habe einen,141,haben_noun,vereinbaren ..... + Dat. Ich habe einen Termin ..... meinem Steuerberater vereinbart. Ich habe ..... meinem Arbeitgeber eine Lohnerhöhung vereinbart.,vereinbaren mit + Dat. Ich habe einen Termin mit meinem Steuerberater vereinbart. Ich habe mit meinem Arbeitgeber eine Lohnerhöhung vereinbart.,"['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
ist mit,139,sein_adj,Jeder Roboter ist mit einer Sprecheinrichtung ausgestattet.,Each robot is equipped with a talking machine.,['100k_German_sentences_with_aud']
von,137,sich_verb,Deine Ideen unterscheiden sich von den meinen.,Your ideas are different from mine.,['100k_German_sentences_with_aud']
an,136,sich_verb,Bitte wenden Sie sich an den Vorsitzenden!,Please address the chair!,['100k_German_sentences_with_aud']
sind die,134,sein_adj,Elefanten sind die größten derzeitig lebenden Landtiere.,Elephants are the largest land animals alive today.,['100k_German_sentences_with_aud']
ist er,131,sein_adj,sterben .... + Dat. Wo.. ist er gestorben? In den letzten Monaten sind viele alte Menschen .... Grippe gestorben.,sterben an + Dat. Woran ist er gestorben? In den letzten Monaten sind viele alte Menschen an Grippe gestorben.,"['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
haben sich,124,haben_noun,sich rächen ....  + Dat. Sie haben sich ... ihm für seine Gemeinheiten gerächt. ... wem willst du dich rächen?,sich rächen an + Dat. Sie haben sich an ihm für seine Gemeinheiten gerächt. An wem willst du dich rächen?,['Verben_mit_Prpositionen_und_Be']
selbst,119,sich_verb,"An sich selbst zu zweifeln, ist das erste Zeichen von Intelligenz.",To have doubts about oneself is the first sign of intelligence.,['100k_German_sentences_with_aud']
habe den,118,haben_noun,"Ich habe den ganzen Nachmittag damit verbracht, mit Freunden zu schwätzen.",I spent the whole afternoon chatting with friends.,['100k_German_sentences_with_aud']
ist mir,117,sein_adj,"Es ist mir unmöglich, es dir zu erklären.",It's impossible for me to explain it to you.,['100k_German_sentences_with_aud']
war das,115,sein_adj,Alles in allem war das Ergebnis nicht zufriedenstellend.,"On the whole, the result was unsatisfactory.",['100k_German_sentences_with_aud']
habe es,114,haben_noun,"Ich habe es im Gefühl, dass aus dir einmal ein guter Anwalt wird.",I have a feeling you'll be a very good lawyer.,['100k_German_sentences_with_aud']
habe mir,114,haben_noun,"Ich habe mir nie davon träumen lassen, dich hier zu treffen.",Never did I dream of meeting you here.,['100k_German_sentences_with_aud']
hatte keine,113,haben_noun,"Ich hatte keine Ahnung, dass ihr gekommen seid.",I had no notion that you were coming.,['100k_German_sentences_with_aud']
warum hast,113,sein_adj,protestieren .... + Akk. Viele Umweltschützer haben .....  die Rodung des Waldes protestiert. Du warst doch auf nicht dafür! Warum hast du nicht da..... protestiert?,protestieren gegen + Akk. Viele Umweltschützer haben gegen die Rodung des Waldes protestiert. Du warst doch auf nicht dafür! Warum hast du nicht dagegen protestiert?,['Verben_mit_Prpositionen_und_Be']
habe eine,112,haben_noun,Ich habe eine Verknüpfung auf dem Desktop hergestellt.,I created a shortcut on the desktop.,['100k_German_sentences_with_aud']
hättest du,112,haben_noun,So einen ungerechten Vorschlag hättest du ablehnen sollen.,You should have refused such an unfair proposal.,['100k_German_sentences_with_aud']
sind nicht,112,sein_adj,"verzichten .... + Akk. Die meisten Menschen sind nicht bereit, ..... ihren Wohlstand zu verzichten. Die Sportlerin hat da.... verzichtet, an diesem Wettkampf teilzunehmen.","verzichten auf + Akk. Die meisten Menschen sind nicht bereit, auf ihren Wohlstand zu verzichten. Die Sportlerin hat darauf verzichtet, an diesem Wettkampf teilzunehmen.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
habe die,110,haben_noun,schicken ... + Akk. Ich habe die E-Mail ... alle Freunde geschickt.  .. wen soll ich den Brief schicken?,schicken an + Akk. Ich habe die E-Mail an alle Freunde geschickt.  An wen soll ich den Brief schicken?,"['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
im,109,sich_verb,"Es wäre lustig zu sehen, wie die Dinge sich im Lauf der Jahre ändern.",It would be fun to see how things change over the years.,['100k_German_sentences_with_aud']
war es,108,sein_adj,"Wahrscheinlich war es das, was ihre Entscheidung beeinflusst hat.",That was probably what influenced their decision.,['100k_German_sentences_with_aud']
war eine,105,sein_adj,"zugehen .... + Akk. Als sie uns sah, ging sie sofort ....uns zu. Du darfst nicht immer ....deinem Standpunkt beharren. Du musst auch ... die Verhandlungspartner zugehen. Wir sind ....einander zugegang","zugehen auf + Akk. Als sie uns sah, ging sie sofort auf uns zu. Du darfst nicht immer auf deinem Standpunkt beharren. Du musst auch auf die Verhandlungspartner zugehen. Wir sind aufeinander zugegangen","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
haben wir,105,haben_noun,"verschieben ...+ Akk. Du solltest die Dinge, die du zu erledigen hast, nicht immer ... später verschieben. Da einige Kollegen krank sind, haben wir die Sitzung .... nächste Woche verschoben.","verschieben auf + Akk. Du solltest die Dinge, die du zu erledigen hast, nicht immer auf später verschieben. Da einige Kollegen krank sind, haben wir die Sitzung auf nächste Woche verschoben.",['Verben_mit_Prpositionen_und_Be']
über,105,sich_verb,Machen Sie sich über die Vergangenheit keine Gedanken!,Don't worry about the past.,['100k_German_sentences_with_aud']
ist an,103,sein_adj,Sie ist an diesem Wochenende krank geworden.,She got sick this weekend.,['100k_German_sentences_with_aud']
habe noch,102,haben_noun,"hören .... + Dat. Hast du schon ..... ihrer neuesten Idee gehört? Das ist neu für mich, ich habe noch nie da....  gehört.","hören von + Dat. Hast du schon von ihrer neuesten Idee gehört? Das ist neu für mich, ich habe noch nie davon gehört.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
habe ein,100,haben_noun,Ich habe ein Hühnchen mit dir zu rupfen.,I have a bone to pick with you.,['100k_German_sentences_with_aud']
für,100,sich_verb,Interessieren Sie sich für Fremdsprachen?,Are you interested in foreign languages?,['100k_German_sentences_with_aud']
habe dir,98,haben_noun,Ich habe dir eine Kleinigkeit mitgebracht.,I brought you a little something.,['100k_German_sentences_with_aud']
hatte nicht,96,haben_noun,"Ich hatte nicht vor, diesen Eindruck bei dir zu hinterlassen.",I didn't mean to give you that impression.,['100k_German_sentences_with_aud']
ist schon,95,sein_adj,"Ich finde, dein Englisch ist schon viel besser geworden.",I think your English has improved a lot.,['100k_German_sentences_with_aud']
haben uns,95,haben_noun,"sich einigen ... + Akk. Wir sollten versuchen, uns ... einen Kompromiss zu einigen. Wor..habt ihr euch geeinigt? Wir haben uns da.. geeinigt, die Klassenfahrt nach Berlin zu machen","sich einigen auf + Akk. Wir sollten versuchen, uns auf einen Kompromiss zu einigen. Worauf habt ihr euch geeinigt? Wir haben uns darauf geeinigt, die Klassenfahrt nach Berlin zu machen",['Verben_mit_Prpositionen_und_Be']
habe ihn,94,haben_noun,Ich habe ihn in letzter Zeit oft gesehen.,I have seen much of him lately.,['100k_German_sentences_with_aud']
ist kein,93,sein_adj,"Ein Kind ist kein Gefäß, das man füllt, sondern ein Feuer, das man entfacht.","A child is not a vessel for filling, but a fire to light.",['100k_German_sentences_with_aud']
haben die,91,haben_noun,Sie haben die Berichte am Montag abzuliefern.,You have to turn in the reports on Monday.,['100k_German_sentences_with_aud']
einen,90,sich_verb,"Mac spart Geld, weil er sich einen neuen Mustang kaufen will.","Since Mac wants to buy a new Mustang, he is saving money.",['100k_German_sentences_with_aud']
habe sie,90,haben_noun,jn./etw. verwechseln .... + Dat. ..... wem hast du sie denn verwechselt? Ich habe sie ..... einer anderen Person verwechselt.,jn./etw. verwechseln mit + Dat. Mit wem hast du sie denn verwechselt? Ich habe sie mit einer anderen Person verwechselt.,"['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
hätte nicht,89,haben_noun,"Ich hätte nicht gedacht, dass ich eines Tages bei Wikipedia ""Viagra"" nachschauen würde.","I wouldn't have thought I would someday look up ""Viagra"" in Wikipedia.",['100k_German_sentences_with_aud']
habe gehört,88,haben_noun,"Ich habe gehört, dass Bob und Lucy auseinandergegangen sind.",I hear that Bob and Lucy have broken up.,['100k_German_sentences_with_aud']
eine,87,sich_verb,Nach der Auseinandersetzung haben sie sich eine Woche lang nicht gesprochen.,"After they argued, they didn't speak to each other for a week.",['100k_German_sentences_with_aud']
warum sie,87,sein_adj,"Würden Sie mir sagen, warum Sie ihr Angebot abgelehnt haben?",Would you tell me why you have refused their offer?,['100k_German_sentences_with_aud']
vor,86,sich_verb,Mein Magen zieht sich vor Hunger zusammen.,My stomach is clenched with hunger.,['100k_German_sentences_with_aud']
bin sicher,86,sein_adj,"Ich bin sicher, es wird einfach sein, einen Ort zu finden.",I'm sure it'll be easy to find a place.,['100k_German_sentences_with_aud']
warum er,86,sein_adj,"Zuerst werde ich versuchen zu verstehen, warum er so denkt.","First, I'll try to understand why he thinks so.",['100k_German_sentences_with_aud']
den,86,sich_verb,"Wenn Sie ihm das antun, schneiden Sie sich den Hals ab.","If you do that to him, he will cut your throat.",['100k_German_sentences_with_aud']
ist besser,84,sein_adj,"Das, was du nicht hast, ist besser als das, was du hast.",What you don't have is better than what you do have.,['100k_German_sentences_with_aud']
war sehr,83,sein_adj,Es war sehr schwierig für mich deine Wohnung zu finden.,It was very hard for me to find your flat.,['100k_German_sentences_with_aud']
wäre ich,82,sein_adj,"Wäre ich in deiner Situation, würde ich dasselbe tun.","If I were in your situation, I would do the same thing.",['100k_German_sentences_with_aud']
wäre es,82,sein_adj,"Wenn ich das Leben in einem Wort definieren müsste, wäre es: Leben ist Erschaffen.","If I had to define life in a word, it would be: Life is creation.",['100k_German_sentences_with_aud']
ist einer,82,sein_adj,"Wenn zwei Menschen immer die gleiche Meinung haben, ist einer von ihnen überflüssig.","If two men always have the same opinion, one of them is unnecessary.",['100k_German_sentences_with_aud']
tom,81,sich_verb,Ein paar Wochen vor Weihnachten hat sich Tom das Bein gebrochen und wurde ins Krankenhaus gebracht.,Tom broke his right leg and was taken to hospital a few weeks before Christmas.,['100k_German_sentences_with_aud']
ist tom,81,sein_adj,"Möglicherweise ist Tom nicht so glücklich, wie er aussieht.",Tom might not be as happy as he looks.,['100k_German_sentences_with_aud']
warum du,81,sein_adj,"handeln .... + Akk. Ich verstehe nicht, warum du ..... deine eigenen Interessen handelst.","handeln gegen + Akk. Ich verstehe nicht, warum du gegen deine eigenen Interessen handelst.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
bei,79,sich_verb,"Ich denke, Sie sollten sich bei ihr entschuldigen.",I think that you ought to apologize to her.,['100k_German_sentences_with_aud']
war in,78,sein_adj,Die Firma war in den roten Zahlen und ging unter.,The company was in the red and went under.,['100k_German_sentences_with_aud']
seid ihr,78,sein_adj,Seid ihr schon mit dem Abendessen fertig?,Have you eaten your dinner already?,['100k_German_sentences_with_aud']
ist auf,77,sein_adj,Dieses Buch ist auf Englisch geschrieben und daher für mich einfach zu lesen.,"Written in English, this book is easy for me to read.",['100k_German_sentences_with_aud']
warum ich,77,sein_adj,"Der Grund, warum ich hier bin, ist, weil ich darum gebeten wurde.",The reason I'm here is because I was asked to come.,['100k_German_sentences_with_aud']
war die,77,sein_adj,Kioto war die einstige Hauptstadt Japans.,Kyoto was the former capital of Japan.,['100k_German_sentences_with_aud']
hätte er,72,haben_noun,"Hätte er gewusst was passieren würde, dann hätte er seine Pläne geändert.","Had he known what was about to happen, he would have changed his plan.",['100k_German_sentences_with_aud']
ist von,71,sein_adj,Deine Uhr ist von ähnlicher Form und Farbe wie die meine.,Your watch is similar to mine in shape and color.,['100k_German_sentences_with_aud']
ist nur,71,sein_adj,Das Gehirn ist nur eine komplizierte Maschine.,The brain is just a complicated machine.,['100k_German_sentences_with_aud']
sind in,69,sein_adj,Sie sind in Ihrem Handeln nicht konsequent.,You are not consistent in your actions.,['100k_German_sentences_with_aud']
war zu,68,sein_adj,"Seine Geschichte war zu lächerlich, um von irgendjemandem geglaubt zu werden.",His story was too ridiculous for anyone to believe.,['100k_German_sentences_with_aud']
ist mein,67,sein_adj,"Der Junge, der da ein Lied singt, ist mein Bruder.",The boy singing a song is my brother.,['100k_German_sentences_with_aud']
haben eine,67,haben_noun,Wir haben eine endgültige Entscheidung getroffen.,We've made a final decision.,['100k_German_sentences_with_aud']
bin froh,67,sein_adj,"Ich bin froh, dass ich überhaupt bestanden habe.",I'm glad to have passed at all.,['100k_German_sentences_with_aud']
habe gerade,67,haben_noun,"Ich habe gerade die Briefe nochmal gelesen, die du mir geschickt hast.",I was rereading the letters you sent to me.,['100k_German_sentences_with_aud']
noch,66,sich_verb,"Obwohl sie alleine ins Ausland reisen wollte, hat sie es sich noch einmal besser überlegt.","Though she wished to travel abroad by herself, she thought better of it.",['100k_German_sentences_with_aud']
als,66,sich_verb,Deine Prophezeiung hat sich als wahr erwiesen.,Your prophecy has come true.,['100k_German_sentences_with_aud']
hätte gerne,65,haben_noun,Ich hätte gerne Batterien für dieses Gerät.,I would like batteries for this device.,['100k_German_sentences_with_aud']
ist keine,64,sein_adj,"Das ist keine große Überraschung, oder?","It's not much of a surprise, is it?",['100k_German_sentences_with_aud']
habe in,63,haben_noun,Ich habe in der letzten Zeit nicht gut geschlafen.,I haven't slept well recently.,['100k_German_sentences_with_aud']
ist im,63,sein_adj,Der Markusplatz in Venedig ist im Sommer immer voller Touristen.,St Mark's Square in Venice is always swarming with tourists in the summer.,['100k_German_sentences_with_aud']
habe vor,62,haben_noun,"Ich habe vor, im Sommer nach Europa zu gehen.",My plan for the summer is to go to Europe.,['100k_German_sentences_with_aud']
ist gerade,61,sein_adj,"Gerade mal ungerade ist gerade, ungerade mal ungerade ist ungerade.","Even times odd is even, odd times odd is odd.",['100k_German_sentences_with_aud']
warum haben,60,sein_adj,Warum haben Sie seine Anfrage auf eine Gehalterhöhung abgelehnt?,Why did you turn down his request for a pay rise?,['100k_German_sentences_with_aud']
sehr,59,sich_verb,"sich einsetzen .... + Akk. Sie haben sich sehr ...geflüchtete Menschen eingesetzt. Der Bürgermeister hat sich jahrelang da... eingesetzt, dass die Umgehungsstraße gebaut wird.","sich einsetzen für + Akk. Sie haben sich sehr für geflüchtete Menschen eingesetzt. Der Bürgermeister hat sich jahrelang dafür eingesetzt, dass die Umgehungsstraße gebaut wird.",['Verben_mit_Prpositionen_und_Be']
war ich,59,sein_adj,"Nachdem ich den Hügel hinaufgerannt war, war ich völlig außer Atem.","After running up the hill, I was completely out of breath.",['100k_German_sentences_with_aud']
