pattern,example,translation,count
werden aus,Bierflaschen werden aus Glas hergestellt.,Beer bottles are made of glass.,1
schreib mit,Bitte schreib mit einem Füllfederhalter.,Please write with a pen.,1
dürstet nach,Unser Volk dürstet nach Unabhängigkeit.,Our people thirst for independence.,1
Gesellschaft zu,"Versuch, schlechte Gesellschaft zu meiden.",Try to avoid bad company.,1
wurde von,Ich wurde von Außerirdischen gekidnappt.,I was abducted by aliens.,1
Flugreisen nach,Ich vermeide Flugreisen nach Möglichkeit.,"I avoid traveling by air, if I can help it.",1
beginnen mit,Sätze beginnen mit einem Großbuchstaben.,Sentences begin with a capital letter.,1
werden mit,Straßenbahnen werden mit Elektrizität betrieben.,Streetcars run on electricity.,1
untersuchen mit,Zahnärzte untersuchen mit Röntgenstrahlen Zähne.,Dentists examine teeth with x-rays.,1
wird aus,Champagner wird aus Frankreich importiert.,Champagne is imported from France.,1
Küchenschränke aus,Sie räumte sämtliche Küchenschränke aus.,She cleaned out all of the kitchen cupboards.,1
Ministerpräsidentin von,Sie ist Ministerpräsidentin von Finnland.,She is the Prime Minister of Finland.,1
Meisterstück mit,Saint-Exupérys Meisterstück mit Original-Illustrationen.,Saint-Exupéry's masterpiece with original illustrations.,1
traf auf,Er traf auf unvorhergesehene Hindernisse.,He encountered unexpected obstacles.,1
Flugzeugreisen zu,"Tom versucht, Flugzeugreisen zu vermeiden.",Tom tries to avoid traveling by air.,1
lernen zu,Philosophieren bedeutet lernen zu sterben.,Philosophy is learning how to die.,1
schmecken nach,Nordostchinesische Gerichte schmecken nach nichts.,Northeastern Chinese dishes are tasteless.,1
ist nach,Lincoln ist nach Washington zurückgekehrt.,Lincoln returned to Washington.,1
Schiffstransporte mit,Schiffstransporte mit Lebensmitteln wurden blockiert.,Food shipments were blocked.,1
verfügten über,Die Soldaten verfügten über Artillerie.,The soldiers had artillery.,1
arbeiten bei,Sie arbeiten bei einer Verpackungsfabrik.,They work for a packaging company.,1
arbeitet bei,Tom arbeitet bei der Umweltschutzbehörde.,Tom works for the Environmental Protection Agency.,1
Aachen auf,Aix-la-Chapelle ist Aachen auf Deutsch.,Aix-la-Chapelle is Aachen in German.,1
können an,Meerschweinchen können an Einsamkeit sterben.,Guinea pigs can die of loneliness.,1
